County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Pasquotank County,17650.0,7620.0,6190.0,4660.0,822771.0,350.0,983.0
Passaic County,252900.0,122630.0,76230.0,53510.0,15409662.0,14370.0,92042.0
Patrick County,7360.0,3090.0,3370.0,2370.0,322298.0,280.0,494.0
Paulding County,79440.0,32170.0,32540.0,14800.0,4439260.0,1720.0,4830.0
Pawnee County,10300.0,4370.0,4590.0,3250.0,482341.0,330.0,1532.0
Payette County,10160.0,3920.0,4880.0,2780.0,539519.0,630.0,1910.0
Payne County,29410.0,14000.0,11920.0,7150.0,1654076.0,510.0,2280.0
Peach County,11430.0,4970.0,3750.0,2980.0,566565.0,320.0,631.0
Pearl River County,21430.0,8200.0,9060.0,5690.0,1020155.0,450.0,1582.0
Pecos County,6090.0,2530.0,2380.0,1230.0,357269.0,170.0,740.0
Pembina County,3470.0,1590.0,1570.0,1200.0,222818.0,260.0,1075.0
Pemiscot County,6080.0,2540.0,1880.0,1540.0,243713.0,320.0,1109.0
Pend Oreille County,5590.0,2300.0,2710.0,2090.0,439258.0,350.0,1866.0
Pender County,25220.0,9950.0,10940.0,6740.0,1425502.0,430.0,1327.0
Pendleton County,9570.0,4060.0,4210.0,2620.0,448380.0,370.0,1470.0
Pennington County,63320.0,31080.0,24770.0,18530.0,3902746.0,1870.0,7731.0
Pennsylvania,6236490.0,3104370.0,2276220.0,1726320.0,432908427.0,336760.0,1653616.0
Penobscot County,68650.0,33830.0,26740.0,18530.0,3661523.0,2430.0,11400.0
Peoria County,86390.0,41430.0,30060.0,23330.0,5893038.0,3750.0,21289.0
Pepin County,3580.0,1640.0,1640.0,1200.0,219471.0,200.0,761.0
Perkins County,2720.0,1160.0,1380.0,970.0,128355.0,0.0,0.0
Perquimans County,5740.0,2190.0,2550.0,2120.0,302341.0,90.0,197.0
Perry County,89470.0,38390.0,36840.0,23630.0,4286248.0,3810.0,15836.0
Pershing County,2040.0,900.0,830.0,580.0,103479.0,80.0,322.0
Person County,17230.0,7150.0,6420.0,4620.0,848539.0,290.0,672.0
Petersburg Census Ar,1940.0,990.0,710.0,580.0,120638.0,390.0,814.0
Petersburg city,15530.0,8280.0,2300.0,3490.0,534606.0,480.0,1521.0
